W0821 00:11:52.264151   713 device_context.cc:404] Please NOTE: device: 0, GPU Compute Capability: 7.0, Driver API Version: 11.0, Runtime API Version: 10.1
W0821 00:11:52.268267   713 device_context.cc:422] device: 0, cuDNN Version: 7.6.
Train: [1][10/98]	BT 0.964 (0.972)	DT 0.000 (0.106)	loss 9.907 (9.915)
Train: [1][20/98]	BT 0.958 (0.965)	DT 0.000 (0.053)	loss 9.898 (9.908)
Train: [1][30/98]	BT 0.959 (0.963)	DT 0.000 (0.035)	loss 9.898 (9.905)
Train: [1][40/98]	BT 0.961 (0.962)	DT 0.000 (0.027)	loss 9.898 (9.904)
Train: [1][50/98]	BT 0.963 (0.962)	DT 0.000 (0.021)	loss 9.896 (9.902)
Train: [1][60/98]	BT 0.959 (0.962)	DT 0.000 (0.018)	loss 9.885 (9.900)
Train: [1][70/98]	BT 0.960 (0.962)	DT 0.000 (0.015)	loss 9.850 (9.896)
Train: [1][80/98]	BT 0.960 (0.962)	DT 0.000 (0.013)	loss 9.835 (9.888)
Train: [1][90/98]	BT 0.966 (0.962)	DT 0.000 (0.012)	loss 9.761 (9.876)
epoch 1, total time 94.17
Train: [2][10/98]	BT 0.967 (0.958)	DT 0.000 (0.123)	loss 9.730 (9.761)
Train: [2][20/98]	BT 0.958 (0.960)	DT 0.000 (0.062)	loss 9.770 (9.756)
Train: [2][30/98]	BT 0.961 (0.961)	DT 0.000 (0.041)	loss 9.706 (9.751)
Train: [2][40/98]	BT 0.961 (0.961)	DT 0.000 (0.031)	loss 9.711 (9.744)
Train: [2][50/98]	BT 0.969 (0.962)	DT 0.000 (0.025)	loss 9.688 (9.739)
Train: [2][60/98]	BT 0.968 (0.962)	DT 0.000 (0.021)	loss 9.717 (9.735)
Train: [2][70/98]	BT 0.962 (0.962)	DT 0.000 (0.018)	loss 9.624 (9.729)
Train: [2][80/98]	BT 0.969 (0.963)	DT 0.000 (0.016)	loss 9.654 (9.725)
Train: [2][90/98]	BT 0.965 (0.963)	DT 0.000 (0.014)	loss 9.696 (9.720)
epoch 2, total time 94.27
Train: [3][10/98]	BT 0.979 (0.960)	DT 0.000 (0.151)	loss 9.693 (9.670)
Train: [3][20/98]	BT 0.963 (0.962)	DT 0.000 (0.076)	loss 9.674 (9.670)
Train: [3][30/98]	BT 0.965 (0.963)	DT 0.000 (0.051)	loss 9.590 (9.661)
